,mjd_start,mjd_end,mjd_mean,n_expected,n_actual,good_data,avg_mag_auto,cleanavg_mag_auto,cleanmedian_mag_auto,cleansigma_mag_auto,avg_mag_aper1,cleanavg_mag_aper1,cleanmedian_mag_aper1,cleansigma_mag_aper1,avg_mag_aper2,cleanavg_mag_aper2,cleanmedian_mag_aper2,cleansigma_mag_aper2,avg_phot_aper2,cleanavg_phot_aper2,cleanmedian_phot_aper2,cleansigma_phot_aper2,avg_magzero,cleanavg_magzero,cleanmedian_magzero,cleansigma_magzero,avg_magzero_std,cleanavg_magzero_std,cleanmedian_magzero_std,cleansigma_magzero_std
0,54193.29502334491,54212.37835673611,54202.83669004051,687.0000020832522,89.0,True,5.617977528089888e+18,11.09756634771892,10.992706853408814,0.7529838434509264,12.197153358493965,12.197153358493965,11.867460895233155,0.5908164535156262,11.735673227033292,11.735673227033292,11.461760065765382,0.578641899040222,-6.365584157303371,-6.365584157303371,-6.63888,0.5792379999999997,18.101257384336662,18.101257384336662,18.101050228881835,0.0016167800292983259,0.10360691135877988,0.10360691135877988,0.10258033804321265,0.006966070322876557
1,54227.101086435185,54249.32271461806,54238.21190052662,799.9786145834369,229.0,True,1.353711790393013e+19,11.5826541457313,11.138902520599363,0.7111095215942367,8.733624454148471e+17,12.308230596212649,12.019684002304079,0.6091328655761705,2.6200873362445414e+18,11.836526024792931,11.535682929992676,0.6212526429489147,-3.530079737991266,-6.289606995515695,-6.50928,0.6025240000000003,18.12590807714338,18.12590807714338,18.152253999328614,0.04451017803955004,0.11046940909786304,0.11046940909786304,0.1025604723052993,0.01345101385315016
2,54538.072118055556,54556.988785416666,54547.53045173611,681.0000249999866,100.0,True,5e+18,11.197077908117196,10.89599315414429,0.6599135470520023,12.03256496163483,12.03256496163483,11.81959517829895,0.38171405242614664,11.613954261634829,11.613954261634829,11.379729950942995,0.36165387890625045,-6.488009999999999,-6.488009999999999,-6.72041,0.3590469999999999,18.101964261634826,18.101964261634826,18.101853984069823,0.0018328992767333574,0.10161939793869008,0.10161939793869008,0.10235810686492908,0.008304338984681546
3,54615.850401435186,54636.90606554398,54626.37823348958,758.0039079166891,107.0,True,1.5887850467289719e+19,11.22652188186137,10.976445981063842,0.90347750213623,1.869158878504673e+18,12.275704968786332,12.074215094909668,0.6110301656005861,1.869158878504673e+18,11.923442968786329,11.507285807952883,0.7278122974060075,-4.258642056074766,-6.226056190476189,-6.64454,0.7294047999999997,18.14964116479036,18.14964116479036,18.15642470703125,0.0069703878784164175,0.10013846995587226,0.10013846995587226,0.09989714739990241,0.005242691423033824
4,54882.87767364583,54901.71101068287,54892.29434216435,678.0001333333785,62.0,True,3.2258064516129034e+18,10.986566556406656,10.846937974319458,0.2672681037170417,11.940420026592133,11.940420026592133,11.779158785095214,0.23743417850799453,11.53314567175342,11.53314567175342,11.346819208183287,0.2186922034484855,-6.5791148387096765,-6.5791148387096765,-6.76436,0.21723819999999971,18.112260510463095,18.112260510463095,18.112124181365967,0.0013874138183602724,0.09841262231617569,0.09841262231617569,0.09831265749359197,0.006636528244934464
5,55005.18376420139,55025.18379681713,55015.183780509265,720.0011741665949,150.0,True,3.3333333333333335e+18,10.843461448921467,10.901677843475344,0.7742556907363891,12.133629753269958,12.133629753269958,11.870151855163575,0.5757880347564708,11.687444219936625,11.687444219936625,11.454531478881837,0.6492666925964334,-6.466995399999999,-6.466995399999999,-6.701535,0.6462696000000001,18.154439619936625,18.154439619936625,18.159673503875734,0.0027335860214243723,0.10047160041229254,0.10047160041229254,0.099661604309083,0.006554471862794203
6,55226.849895879626,55246.072118125,55236.46100700231,692.0000008333591,109.0,True,7.339449541284403e+18,11.222330322224384,10.926107146911622,0.7780990569305413,12.209220642915778,12.209220642915778,11.91640814102173,0.6029407778961167,11.761895872273579,11.761895872273579,11.403782639846805,0.688598863221741,-6.35137247706422,-6.35137247706422,-6.70757,0.6875865999999999,18.113268349337798,18.113268349337798,18.113157608032225,0.0017136896209706265,0.10126958409846577,0.10126958409846577,0.1019103482666015,0.0076237628649911265
7,55393.43374523148,55415.87826194445,55404.65600358797,808.0026016668126,135.0,True,3.7037037037037036e+18,11.145014699022733,10.979735124931336,0.8692974472412098,7.407407407407407e+17,12.070442365432285,11.922746596984865,0.5314960652130125,7.407407407407407e+17,11.691952365432284,11.441450888290408,0.6840313916931144,-5.669192518518518,-6.450208880597015,-6.689360000000001,0.6859552,18.14224650235212,18.14224650235212,18.160592021179202,0.012181297416685055,0.10141434109610102,0.10141434109610102,0.09801607588195793,0.004677700984496595
8,55571.849895879626,55590.5443403125,55581.19711809607,672.9999995835533,78.0,True,5.128205128205129e+18,11.096122800786818,10.853510917587279,0.642300671264648,12.074965731804676,12.074965731804676,11.823750158805847,0.4267547860595693,11.623743680522626,11.623743680522626,11.376173375778198,0.4353726890274041,-6.490346538461537,-6.490346538461537,-6.73817,0.4353525999999994,18.114090218984163,18.114090218984163,18.113836360168456,0.0012963199310309648,0.10104210551198313,0.10104210551198313,0.09952528544616701,0.0071718047619631214
9,55782.544831458334,55805.04490515046,55793.794868304394,810.0026529166207,143.0,True,1.5384615384615385e+19,11.274095585783021,10.953690011901857,0.7489823378906264,1.3986013986013985e+18,12.122458656180093,11.892150019378663,0.4825108677978527,2.797202797202797e+18,11.740709162457142,11.447703897857664,0.6558809990570085,-3.4511231468531474,-6.400219496402878,-6.69622,0.6676056000000004,18.141406881756552,18.141406881756552,18.15638828392029,0.02175843103027475,0.1000217776200087,0.1000217776200087,0.09806937066650612,0.007643459274291477
