,mjd_start,mjd_end,mjd_mean,n_expected,n_actual,good_data,avg_mag_auto,avg_mag_aper1,avg_mag_aper2,avg_phot_aper2,avg_magzero,avg_magzero_std
0,54193.5172455787,54213.01724555556,54203.26724556713,701.9999991667864,564.0,True,3.546099290780142e+17,8.982076559652777,8.869277942631497,-9.231262606382979,18.10054054901448,0.10033903371047982
1,54227.62886665509,54249.98938002315,54238.80912333912,804.9784812502039,659.0,True,3.034901365705615e+17,9.108554337238086,8.97132854057648,-9.156495660091046,18.127824200667526,0.1120741774502234
2,54538.21100819444,54557.65545332176,54547.9332307581,700.0000245833653,606.0,True,8.735977840079379,8.981742906085982,8.866899308726245,-9.23422707920792,18.101126387934166,0.09696883722047202
3,54617.10040141203,54638.43384883102,54627.76712512152,768.0041070833977,640.0,True,1.5625e+17,9.055541121742607,8.922984465492608,-9.227587484375,18.150571949867604,0.09921544268231394
4,54882.76656256944,54902.211006921294,54892.488784745365,699.999996666651,613.0,True,8.74171556751046,8.977492680071634,8.863832239614863,-9.247834241435562,18.111666481050428,0.09625076220143051
5,55005.04487471065,55027.46157453704,55016.25322462384,807.0011937500385,645.0,True,8.76198078405253,9.073800877075787,8.937202024362609,-9.219927534883722,18.15712955924633,0.10161940012348976
6,55227.23878476852,55246.711006944446,55236.97489585648,700.9999983334565,682.0,True,1.466275659824047e+17,8.981452723061906,8.865835186405015,-9.246585894428152,18.11242108083317,0.09796454980911747
7,55394.07263628472,55416.51715267361,55405.294894479164,808.0025899999891,709.0,True,8.765876353158777,9.065299159928875,8.926296776289947,-9.219280380818054,18.145577157108,0.1028644942271417
8,55571.7943403125,55590.96100697917,55581.37767364584,689.9999999999127,600.0,True,8.743878518598937,8.98116620193227,8.868474701932271,-9.244567666666669,18.11304236859894,0.09747865533215833
9,55783.822613599536,55805.71157388889,55794.767093744216,788.0025704167492,611.0,True,1.6366612111292963e+17,9.073386962332343,8.936789155458367,-9.204333617021277,18.141122772479644,0.10388384263276208
10,55916.3221180787,55933.93322921296,55925.12767364583,634.0000008334173,554.0,True,8.723692638261431,8.976707602160348,8.863630327792116,-9.24984296028881,18.113473288080925,0.09875234739249877
11,56172.2670375,56194.57267385416,56183.419855677086,803.002908749826,669.0,True,2.989536621823617e+17,9.061502563280296,8.92605286223396,-9.216429192825112,18.142482055059073,0.10230840959461707
12,56260.877673703704,56280.2943403125,56270.5860070081,698.9999979167478,620.0,True,8.743447559942307,8.982571640587468,8.869962172845534,-9.241959548387095,18.111921721232626,0.09922995530471806
13,56561.26703618056,56583.73934989583,56572.503193038196,809.0032937499345,700.0,True,8.776408884585573,9.092434856014142,8.945109198871286,-9.195519914285713,18.140629113157,0.10159668094944538
14,56605.43322921296,56624.877673599534,56615.155451406245,699.9999979166023,489.0,True,8.702805911260189,9.014469735391065,8.87920235297798,-9.196192985685071,18.07539533866305,0.11110501120787701
15,56950.20425925926,56962.8605787037,56956.532418981486,455.6274999997986,12.0,True,8.90048746070226,8.974223294035594,8.911255794035595,-7.8037925,16.715048294035594,0.2882669845441188
16,57666.48878474537,57685.32211809028,57675.90545141783,678.0000004165631,547.0,True,8.729443048302965,9.007991896566221,8.880273615030571,-9.220533638025595,18.100807253056164,0.10011490257689981
17,58012.96100699074,58029.87767368055,58021.41934033565,609.0000008331263,501.0,True,8.731232381799511,9.007719946669768,8.884275635292527,-9.210450798403194,18.09472643369572,0.1025502175860986
18,58355.5165625463,58374.40545142361,58364.96100698496,679.9999995833205,530.0,True,8.744871974234096,9.013453502535983,8.886663087441644,-9.204286000000002,18.090949087441643,0.1041518383785895
19,58701.73878476852,58718.93322922454,58710.33600699653,619.0000004167669,595.0,True,8.74146095072642,9.004643270054153,8.880602547365077,-9.215515462184873,18.09611800954995,0.0996988142104719
20,59044.12767364583,59057.98878476852,59051.05822920718,499.00000041667954,358.0,True,8.72605928121684,8.99172643205483,8.871801264457062,-9.227345111731843,18.09914637618891,0.09520074770811275
